Run_Start	Date	Contracts	Cumulative_PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2021-07-12	2021-08-24	1	45.5	473.0	507.5	-992.5
2021-07-12	2021-08-25	1	18.5	491.5	507.5	-992.5
2021-07-12	2021-08-26	1	-137.5	354.0	507.5	-992.5
2021-07-12	2021-08-27	1	-55.0	299.0	507.5	-992.5
2021-07-12	2021-08-30	1	264.5	563.5	563.5	-936.5
2021-07-12	2021-08-31	1	-94.0	469.5	572.0	-928.0
2021-07-12	2021-09-01	1	42.5	512.0	614.5	-885.5
2021-07-12	2021-09-02	1	52.5	564.5	614.5	-885.5
2021-07-12	2021-09-03	1	64.0	628.5	628.5	-871.5
2021-07-12	2021-09-06	1	23.0	651.5	651.5	-848.5
2021-07-12	2021-09-07	1	16.0	667.5	695.5	-804.5
2021-07-12	2021-09-08	1	53.0	720.5	720.5	-779.5
2021-07-12	2021-09-09	1	-100.5	620.0	722.0	-778.0
2021-07-12	2021-09-10	1	-45.5	574.5	722.0	-778.0
2021-07-12	2021-09-13	1	145.5	720.0	745.0	-755.0
2021-07-12	2021-09-14	1	-108.5	611.5	745.0	-755.0
2021-07-12	2021-09-15	1	120.5	732.0	745.0	-755.0
2021-07-12	2021-09-16	1	-44.0	688.0	745.0	-755.0
2021-07-12	2021-09-17	1	-140.0	548.0	745.0	-755.0
2021-07-12	2021-09-20	1	56.0	604.0	745.0	-755.0
2021-07-12	2021-09-21	1	3.0	607.0	841.5	-658.5
2021-07-12	2021-09-22	1	137.5	744.5	855.5	-644.5
2021-07-12	2021-09-23	1	116.0	860.5	892.5	-607.5
2021-07-12	2021-09-24	1	12.5	873.0	892.5	-607.5
2021-07-12	2021-09-27	1	34.5	907.5	1004.0	-496.0
2021-07-12	2021-09-28	1	-316.5	591.0	1004.0	-496.0
2021-07-12	2021-09-29	1	141.0	732.0	1004.0	-496.0
2021-07-12	2021-09-30	1	-283.0	449.0	1004.0	-496.0
2021-07-12	2021-10-01	1	303.0	752.0	1004.0	-496.0
