Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
17.11.2023	2	2.00	-24.50	-12.25	0.00	24 604.50	24 604.50	24 629.00	24 629.00	24 604.50	24 604.50
20.11.2023	6	6.00	285.00	47.50	0.00	24 889.50	24 889.50	24 604.50	24 889.50	24 585.00	24 889.50
21.11.2023	2	2.00	-56.00	-28.00	0.00	24 833.50	24 833.50	24 889.50	24 889.50	24 833.50	24 833.50
22.11.2023	4	4.00	127.50	31.88	0.00	24 961.00	24 961.00	24 833.50	24 961.00	24 833.50	24 961.00
23.11.2023	6	6.00	0.50	0.08	0.00	24 961.50	24 961.50	24 961.00	25 003.50	24 948.00	24 961.50
24.11.2023	3	3.00	-84.00	-28.00	0.00	24 877.50	24 877.50	24 961.50	24 961.50	24 877.50	24 877.50
27.11.2023	3	3.00	26.50	8.83	0.00	24 904.00	24 904.00	24 877.50	24 959.00	24 877.50	24 904.00
28.11.2023	5	5.00	-75.00	-15.00	0.00	24 829.00	24 829.00	24 904.00	24 904.00	24 829.00	24 829.00
29.11.2023	4	4.00	72.50	18.13	0.00	24 901.50	24 901.50	24 829.00	24 901.50	24 815.50	24 901.50
30.11.2023	4	4.00	11.00	2.75	0.00	24 912.50	24 912.50	24 901.50	24 963.00	24 884.50	24 912.50
01.12.2023	5	5.00	128.50	25.70	0.00	25 041.00	25 041.00	24 912.50	25 041.00	24 860.00	25 041.00
04.12.2023	5	5.00	104.00	20.80	0.00	25 145.00	25 145.00	25 041.00	25 145.00	24 977.50	25 145.00
05.12.2023	5	5.00	46.00	9.20	0.00	25 191.00	25 191.00	25 145.00	25 191.00	25 095.50	25 191.00
06.12.2023	3	3.00	-39.00	-13.00	0.00	25 152.00	25 152.00	25 191.00	25 225.00	25 152.00	25 152.00
07.12.2023	4	4.00	-51.50	-12.88	0.00	25 100.50	25 100.50	25 152.00	25 152.00	25 064.50	25 100.50
08.12.2023	6	6.00	195.50	32.58	0.00	25 296.00	25 296.00	25 100.50	25 296.00	24 960.00	25 296.00
11.12.2023	6	6.00	267.50	44.58	0.00	25 563.50	25 563.50	25 296.00	25 563.50	25 284.50	25 563.50
12.12.2023	4	4.00	43.50	10.88	0.00	25 607.00	25 607.00	25 563.50	25 607.00	25 563.50	25 607.00
13.12.2023	4	4.00	-19.50	-4.88	0.00	25 587.50	25 587.50	25 607.00	25 655.50	25 587.50	25 587.50
14.12.2023	4	4.00	-217.50	-54.38	0.00	25 370.00	25 370.00	25 587.50	25 587.50	25 370.00	25 370.00
15.12.2023	4	4.00	-54.50	-13.63	0.00	25 315.50	25 315.50	25 370.00	25 385.00	25 315.50	25 315.50
18.12.2023	3	3.00	71.00	23.67	0.00	25 386.50	25 386.50	25 315.50	25 386.50	25 315.50	25 386.50
19.12.2023	5	5.00	96.50	19.30	0.00	25 483.00	25 483.00	25 386.50	25 483.00	25 373.00	25 483.00
20.12.2023	4	4.00	-54.00	-13.50	0.00	25 429.00	25 429.00	25 483.00	25 506.50	25 429.00	25 429.00
21.12.2023	6	6.00	141.00	23.50	0.00	25 570.00	25 570.00	25 429.00	25 631.50	25 429.00	25 570.00
22.12.2023	3	3.00	-73.50	-24.50	0.00	25 496.50	25 496.50	25 570.00	25 570.00	25 496.50	25 496.50
26.12.2023	2	2.00	14.00	7.00	0.00	25 510.50	25 510.50	25 496.50	25 527.50	25 496.50	25 510.50
27.12.2023	5	5.00	-51.00	-10.20	0.00	25 459.50	25 459.50	25 510.50	25 518.00	25 459.50	25 459.50
28.12.2023	5	5.00	-21.00	-4.20	0.00	25 438.50	25 438.50	25 459.50	25 492.50	25 438.50	25 438.50
29.12.2023	4	4.00	40.50	10.13	0.00	25 479.00	25 479.00	25 438.50	25 515.00	25 438.50	25 479.00
02.01.2024	5	5.00	100.50	20.10	0.00	25 579.50	25 579.50	25 479.00	25 579.50	25 454.50	25 579.50
03.01.2024	3	3.00	-70.50	-23.50	0.00	25 509.00	25 509.00	25 579.50	25 602.50	25 509.00	25 509.00
04.01.2024	4	4.00	85.50	21.38	0.00	25 594.50	25 594.50	25 509.00	25 594.50	25 509.00	25 594.50
05.01.2024	4	4.00	-119.50	-29.88	0.00	25 475.00	25 475.00	25 594.50	25 594.50	25 475.00	25 475.00
08.01.2024	5	5.00	-6.50	-1.30	0.00	25 468.50	25 468.50	25 475.00	25 475.00	25 376.50	25 468.50
09.01.2024	3	3.00	-69.50	-23.17	0.00	25 399.00	25 399.00	25 468.50	25 468.50	25 399.00	25 399.00
10.01.2024	6	6.00	-19.00	-3.17	0.00	25 380.00	25 380.00	25 399.00	25 433.50	25 367.00	25 380.00
11.01.2024	5	5.00	260.00	52.00	0.00	25 640.00	25 640.00	25 380.00	25 640.00	25 380.00	25 640.00
12.01.2024	5	5.00	-156.50	-31.30	0.00	25 483.50	25 483.50	25 640.00	25 641.00	25 483.50	25 483.50
15.01.2024	4	4.00	13.50	3.38	0.00	25 497.00	25 497.00	25 483.50	25 564.50	25 483.50	25 497.00
16.01.2024	2	2.00	27.50	13.75	0.00	25 524.50	25 524.50	25 497.00	25 569.00	25 497.00	25 524.50
17.01.2024	4	4.00	-2.00	-0.50	0.00	25 522.50	25 522.50	25 524.50	25 524.50	25 439.00	25 522.50
18.01.2024	4	4.00	66.50	16.63	0.00	25 589.00	25 589.00	25 522.50	25 589.00	25 487.00	25 589.00
19.01.2024	3	3.00	142.50	47.50	0.00	25 731.50	25 731.50	25 589.00	25 731.50	25 589.00	25 731.50
22.01.2024	5	5.00	-82.50	-16.50	0.00	25 649.00	25 649.00	25 731.50	25 756.00	25 649.00	25 649.00
23.01.2024	3	3.00	-46.00	-15.33	0.00	25 603.00	25 603.00	25 649.00	25 671.00	25 603.00	25 603.00
