Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
24.02.2021	8	8.00	177.50	22.19	0.00	9 447.00	9 447.00	9 269.50	9 499.50	9 157.50	9 447.00
25.02.2021	8	8.00	-515.00	-64.38	0.00	8 932.00	8 932.00	9 447.00	9 447.00	8 932.00	8 932.00
26.02.2021	7	7.00	-101.50	-14.50	0.00	8 830.50	8 830.50	8 932.00	8 932.00	8 615.50	8 830.50
01.03.2021	5	5.00	39.50	7.90	0.00	8 870.00	8 870.00	8 830.50	8 909.50	8 774.00	8 870.00
02.03.2021	3	3.00	-17.50	-5.83	0.00	8 852.50	8 852.50	8 870.00	8 870.00	8 798.50	8 852.50
03.03.2021	6	6.00	-179.00	-29.83	0.00	8 673.50	8 673.50	8 852.50	9 047.50	8 673.50	8 673.50
04.03.2021	5	5.00	-441.00	-88.20	0.00	8 232.50	8 232.50	8 673.50	8 690.00	8 202.50	8 232.50
05.03.2021	6	6.00	842.50	140.42	0.00	9 075.00	9 075.00	8 232.50	9 075.00	8 232.50	9 075.00
08.03.2021	5	5.00	-451.50	-90.30	0.00	8 623.50	8 623.50	9 075.00	9 075.00	8 623.50	8 623.50
09.03.2021	8	8.00	365.50	45.69	0.00	8 989.00	8 989.00	8 623.50	8 989.00	8 565.50	8 989.00
10.03.2021	5	5.00	120.00	24.00	0.00	9 109.00	9 109.00	8 989.00	9 121.00	8 899.00	9 109.00
11.03.2021	7	7.00	86.00	12.29	0.00	9 195.00	9 195.00	9 109.00	9 321.50	9 082.00	9 195.00
12.03.2021	6	6.00	70.00	11.67	0.00	9 265.00	9 265.00	9 195.00	9 265.00	9 129.00	9 265.00
15.03.2021	5	5.00	121.00	24.20	0.00	9 386.00	9 386.00	9 265.00	9 386.00	9 149.50	9 386.00
16.03.2021	5	5.00	282.00	56.40	0.00	9 668.00	9 668.00	9 386.00	9 668.00	9 356.00	9 668.00
17.03.2021	5	5.00	36.00	7.20	0.00	9 704.00	9 704.00	9 668.00	9 704.00	9 554.00	9 704.00
18.03.2021	5	5.00	-88.50	-17.70	0.00	9 615.50	9 615.50	9 704.00	9 821.50	9 615.50	9 615.50
19.03.2021	6	6.00	6.50	1.08	0.00	9 622.00	9 622.00	9 615.50	9 622.00	9 457.00	9 622.00
22.03.2021	6	6.00	189.00	31.50	0.00	9 811.00	9 811.00	9 622.00	9 851.50	9 622.00	9 811.00
23.03.2021	7	7.00	-184.00	-26.29	0.00	9 627.00	9 627.00	9 811.00	9 859.50	9 627.00	9 627.00
24.03.2021	7	7.00	-276.00	-39.43	0.00	9 351.00	9 351.00	9 627.00	9 734.50	9 351.00	9 351.00
25.03.2021	8	8.00	305.50	38.19	0.00	9 656.50	9 656.50	9 351.00	9 738.00	9 285.50	9 656.50
26.03.2021	6	6.00	358.00	59.67	0.00	10 014.50	10 014.50	9 656.50	10 014.50	9 656.50	10 014.50
29.03.2021	6	6.00	134.00	22.33	0.00	10 148.50	10 148.50	10 014.50	10 189.00	9 941.50	10 148.50
30.03.2021	6	6.00	-147.00	-24.50	0.00	10 001.50	10 001.50	10 148.50	10 148.50	9 911.50	10 001.50
31.03.2021	3	3.00	229.00	76.33	0.00	10 230.50	10 230.50	10 001.50	10 287.50	10 001.50	10 230.50
01.04.2021	6	6.00	-28.50	-4.75	0.00	10 202.00	10 202.00	10 230.50	10 249.50	10 180.50	10 202.00
02.04.2021	2	2.00	99.00	49.50	0.00	10 301.00	10 301.00	10 202.00	10 301.00	10 202.00	10 301.00
05.04.2021	6	6.00	-9.50	-1.58	0.00	10 291.50	10 291.50	10 301.00	10 393.50	10 264.00	10 291.50
06.04.2021	5	5.00	-63.50	-12.70	0.00	10 228.00	10 228.00	10 291.50	10 308.00	10 227.00	10 228.00
07.04.2021	7	7.00	14.00	2.00	0.00	10 242.00	10 242.00	10 228.00	10 247.50	10 166.00	10 242.00
