Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
5439	2023-05-12 03:04:40	2023.05.12 04:00:00	-3.5	43.5	37.0	7.75
4352	2023-05-12 05:23:40	2023.05.12 11:00:00	-17.0	48.5	32.5	9.0
4355	2023-05-12 20:56:40	2023.05.12 22:33:40	-102.5	18.0	-102.5	51.25
5443	2023-05-15 02:30:40	2023.05.15 03:46:40	-16.5	12.0	-16.5	8.25
5445	2023-05-15 04:14:40	2023.05.15 06:30:00	-1.5	53.0	46.0	17.75
5447	2023-05-15 07:05:40	2023.05.15 08:30:00	-10.5	36.0	30.5	7.25
4358	2023-05-15 10:38:40	2023.05.15 12:28:40	-33.0	8.5	-33.0	16.5
5450	2023-05-16 03:29:40	2023.05.16 04:22:40	-11.5	13.0	-11.5	5.75
5453	2023-05-16 05:58:40	2023.05.16 08:15:40	-21.0	2.0	-21.0	10.5
4364	2023-05-16 21:07:40	2023.05.16 23:00:00	-37.0	84.5	83.0	22.0
5456	2023-05-17 03:00:40	2023.05.17 04:30:00	-6.0	35.5	34.0	4.75
5458	2023-05-17 05:19:40	2023.05.17 08:28:40	-18.5	10.0	-18.5	9.25
4368	2023-05-17 15:11:40	2023.05.17 15:58:40	-21.0	27.0	-21.0	10.5
5461	2023-05-18 02:46:40	2023.05.18 03:34:40	-13.5	3.5	-13.5	6.75
5464	2023-05-18 05:04:40	2023.05.18 10:30:00	-13.5	38.5	34.5	10.0
4375	2023-05-18 20:42:40	2023.05.18 22:16:40	-96.0	70.5	-96.0	48.0
5467	2023-05-19 03:26:40	2023.05.19 04:21:40	-20.0	9.5	-20.0	10.0
5469	2023-05-19 05:28:40	2023.05.19 07:13:40	-25.5	15.0	-25.5	12.75
4380	2023-05-19 13:17:40	2023.05.19 14:00:00	-8.0	46.5	41.5	11.25
4382	2023-05-19 20:50:40	2023.05.19 23:30:00	-45.0	58.5	16.5	32.0
5473	2023-05-22 04:24:40	2023.05.22 12:34:40	-27.5	33.5	-27.5	13.75
5475	2023-05-23 03:01:40	2023.05.23 05:00:00	-11.0	67.0	28.0	9.75
5481	2023-05-24 02:35:40	2023.05.24 04:13:20	-11.5	18.0	-11.5	5.75
5486	2023-05-25 02:35:40	2023.05.25 13:00:00	-52.0	116.0	112.5	46.5
4394	2023-05-25 05:07:40	2023.05.25 05:34:40	-28.5	3.0	-28.5	14.25
