Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
1024	2023.03.06 14:52:40	2023.03.06 16:00:00	-7.5	119	90.5	27.25
1034	2023.03.14 14:13:40	2023.03.14 14:30:20	-56.5	17.5	-56.5	28.25
1036	2023.03.15 14:30:40	2023.03.15 14:37:20	-70.5	78	-70.5	35.25
1040	2023.03.20 14:36:40	2023.03.20 15:31:40	-102.5	47.5	-102.5	51.25
1044	2023.03.22 14:54:40	2023.03.22 16:30:00	-16.5	163.5	150.5	22
1046	2023.03.23 14:31:20	2023.03.23 16:00:00	-51.5	135.5	122	28.25
1048	2023.03.24 14:58:40	2023.03.24 15:41:40	-97	54.5	-97	48.5
1050	2023.03.28 14:00:40	2023.03.28 15:00:00	-14.5	60	43.5	14
1052	2023.03.29 14:06:20	2023.03.29 14:11:40	-25	0	-25	12.5
1063	2023.04.12 14:42:40	2023.04.12 15:28:40	-29	33	-29	14.5
1067	2023.04.18 14:25:40	2023.04.18 16:35:40	-31	44	-31	15.5
1069	2023.04.19 14:31:40	2023.04.19 15:04:40	-33	14	-33	16.5
1074	2023.04.28 14:01:40	2023.04.28 14:55:40	-19.5	21	-19.5	9.75
1076	2023.05.01 14:01:40	2023.05.01 14:47:40	-26.5	4	-26.5	13.25
1078	2023.05.02 14:20:40	2023.05.02 14:48:40	-30	5.5	-30	15
1080	2023.05.03 14:18:40	2023.05.03 15:45:40	-35	30	-35	17.5
1084	2023.05.05 14:16:40	2023.05.05 15:30:40	-33.5	43.5	-33.5	16.75
1091	2023.05.19 14:22:40	2023.05.19 15:14:40	-47	18.5	-47	23.5
1093	2023.05.22 14:32:40	2023.05.22 17:00:00	-0.5	208.5	173.5	18
1095	2023.05.23 14:00:40	2023.05.23 14:12:40	-34.5	0	-34.5	17.25
1099	2023.05.25 14:44:40	2023.05.25 16:00:00	-5	108	95	25.25
1103	2023.05.30 14:03:40	2023.05.30 15:00:00	-31.5	76.5	59.5	19
1106	2023.06.02 14:15:40	2023.06.02 15:30:40	-49	29	-49	24.5
1110	2023.06.09 14:13:40	2023.06.09 16:00:00	-1.5	93.5	84.5	26.5
1112	2023.06.13 14:19:40	2023.06.13 14:38:40	-40.5	10.5	-40.5	20.25
1115	2023.06.15 14:00:40	2023.06.15 14:10:40	-35.5	17.5	-35.5	17.75
1123	2023.06.22 14:45:40	2023.06.22 16:30:40	-55	52.5	-55	27.5
1125	2023.06.23 14:03:40	2023.06.23 15:30:40	-40.5	59	-40.5	20.25
1127	2023.06.26 14:22:40	2023.06.26 17:00:00	-27.5	206.5	201	19.75
1135	2023.07.06 14:22:40	2023.07.06 15:05:40	-41.5	11	-41.5	20.75
1137	2023.07.11 14:06:20	2023.07.11 16:24:40	-25.5	48.5	-25.5	12.75
1139	2023.07.12 14:17:40	2023.07.12 16:00:00	0.5	255	207.5	12
1142	2023.07.13 14:40:20	2023.07.13 15:35:40	-33.5	57	-33.5	16.75
1144	2023.07.14 14:19:40	2023.07.14 17:00:00	-8	217.5	210	17.25
1146	2023.07.17 14:07:40	2023.07.17 15:08:40	-28	10	-28	14
1148	2023.07.18 14:01:40	2023.07.18 14:35:40	-26.5	11.5	-26.5	13.25
1151	2023.07.20 14:37:40	2023.07.20 15:40:20	-44.5	26	-44.5	22.25
1154	2023.07.24 14:16:40	2023.07.24 15:09:40	-28.5	4	-28.5	14.25
1157	2023.07.27 14:33:40	2023.07.27 15:30:00	0.5	65.5	52.5	13.5
1160	2023.08.03 14:01:40	2023.08.03 14:23:40	-50.5	31.5	-50.5	25.25
1168	2023.08.09 14:35:40	2023.08.09 16:14:40	-47	39	-47	23.5
1171	2023.08.11 14:04:40	2023.08.11 15:30:40	-49	12.5	-49	24.5
1176	2023.08.17 14:45:40	2023.08.17 16:39:40	-47.5	76.5	-47.5	23.75
1180	2023.08.22 14:19:40	2023.08.22 16:35:40	-39	77.5	-39	19.5
1188	2023.08.31 14:12:40	2023.08.31 15:00:00	-8.5	76.5	59	11.25
1192	2023.09.05 14:45:40	2023.09.05 15:38:40	-63.5	8	-63.5	31.75
1194	2023.09.07 14:06:40	2023.09.07 14:24:40	-35	13	-35	17.5
1198	2023.09.11 14:30:40	2023.09.11 16:00:00	-10	57.5	53.5	15
1205	2023.09.19 14:29:40	2023.09.19 14:40:40	-27.5	2	-27.5	13.75
1211	2023.09.25 14:06:40	2023.09.25 14:32:40	-65.5	3	-65.5	32.75
1216	2023.10.02 14:20:40	2023.10.02 14:42:40	-34	14.5	-34	17
1220	2023.10.04 14:05:40	2023.10.04 15:30:00	-4.5	162	120	35.5
1232	2023.10.18 14:03:40	2023.10.18 15:46:40	-42	30.5	-42	21
1236	2023.10.26 14:57:40	2023.10.26 16:00:00	-27.5	154	136	24.75
1241	2023.10.31 14:18:40	2023.10.31 14:37:40	-43.5	18.5	-43.5	21.75
1243	2023.11.01 14:12:40	2023.11.01 15:00:00	-6	158.5	125	25
1245	2023.11.03 14:30:40	2023.11.03 15:00:00	109	184.5	144.5	33.25
1249	2023.11.08 14:46:40	2023.11.08 17:03:40	-31.5	90	-31.5	15.75
1251	2023.11.09 14:05:40	2023.11.09 16:00:00	-13	57	55	13.25
