Ticket	Entry_time	Exit_time	MAE	MFE	PNL	
2402	2024.07.04 05:08:40	2024.07.04 17:00:00	-15.5	40	34	SHORT
2406	2024.07.05 05:05:20	2024.07.05 05:28:40	-18.5	1	-18.5	SHORT
2412	2024.07.11 01:35:40	2024.07.11 03:30:00	-5	43	36.5	SHORT
2416	2024.07.15 05:15:20	2024.07.15 07:32:40	-27	16.5	-27	SHORT
2421	2024.07.18 05:15:40	2024.07.18 06:30:00	-8	36	26	SHORT
2424	2024.07.22 04:09:40	2024.07.22 05:00:00	-14	98.5	71.5	SHORT
2436	2024.07.30 01:35:40	2024.07.30 02:30:00	-9.5	105	99.5	SHORT
2438	2024.07.30 04:28:40	2024.07.30 05:00:00	-1.5	83.5	54.5	SHORT
2445	2024.08.02 04:26:40	2024.08.02 04:46:40	-90	15	-90	SHORT
2447	2024.08.02 05:15:20	2024.08.02 05:30:00	-11	377	237.5	SHORT
2450	2024.08.06 01:55:20	2024.08.06 02:49:40	-181	7	-181	SHORT
2462	2024.08.12 04:00:40	2024.08.12 04:30:40	-46	29	-46	SHORT
2464	2024.08.13 01:31:40	2024.08.13 02:29:40	-38.5	7.5	-38.5	SHORT
2466	2024.08.13 04:10:40	2024.08.13 06:04:20	-94.5	1	-94.5	SHORT
2470	2024.08.14 05:11:40	2024.08.14 11:30:00	-32	105.5	73.5	SHORT
2483	2024.08.26 01:33:40	2024.08.26 04:19:20	-106.5	123.5	-106.5	SHORT
2487	2024.08.29 04:24:40	2024.08.29 05:41:40	-52.5	27.5	-52.5	SHORT
2489	2024.08.30 04:17:20	2024.08.30 05:04:40	-38	21.5	-38	SHORT
2492	2024.09.03 01:35:40	2024.09.03 02:30:00	-10.5	168.5	134	SHORT
2500	2024.09.10 05:04:40	2024.09.10 08:00:00	-35.5	100	87.5	SHORT
2504	2024.09.13 04:02:40	2024.09.13 06:00:00	-7.5	61.5	50.5	SHORT
2513	2024.09.20 01:38:40	2024.09.20 11:30:00	-51.5	66.5	66	SHORT
2535	2024.10.17 04:19:40	2024.10.17 08:32:40	-39	56	-39	SHORT
2544	2024.10.25 01:36:20	2024.10.25 03:45:40	-44.5	26	-44.5	SHORT
2549	2024.10.30 04:06:40	2024.10.30 04:22:40	-38.5	2.5	-38.5	SHORT
2551	2024.10.30 05:26:40	2024.10.30 06:00:00	-5	41.5	30.5	SHORT
2574	2024.11.20 05:14:40	2024.11.20 08:28:40	-45.5	38	-45.5	SHORT
2578	2024.11.26 01:41:40	2024.11.26 02:00:00	-0.5	184	115	SHORT
2588	2024.12.03 04:18:40	2024.12.03 05:06:40	-26	8	-26	SHORT
2591	2024.12.04 05:25:40	2024.12.04 06:21:40	-37.5	1	-37.5	SHORT
2597	2024.12.06 05:18:40	2024.12.06 08:08:20	-22.5	23.5	-22.5	SHORT
2604	2024.12.16 05:19:40	2024.12.16 07:30:00	-17.5	48.5	35	SHORT
2609	2024.12.19 01:42:40	2024.12.19 03:01:20	-175.5	9	-175.5	SHORT
2615	2024.12.24 01:34:40	2024.12.24 08:38:40	-51	54	-51	SHORT
2620	2024.12.27 04:01:20	2024.12.27 08:30:00	-32	63	47.5	SHORT
2622	2024.12.30 04:29:20	2024.12.30 08:00:00	-22	82	61	SHORT
2625	2025.01.02 01:38:40	2025.01.02 02:30:00	-36	266	220	SHORT
2628	2025.01.02 05:16:20	2025.01.02 05:27:40	-48	4.5	-48	SHORT
2634	2025.01.09 05:22:40	2025.01.09 06:00:00	-24	42.5	40.5	SHORT
2648	2025.01.23 05:15:40	2025.01.23 05:26:20	-22	8	-22	SHORT
2650	2025.01.24 05:15:20	2025.01.24 05:30:00	-5.5	64.5	52.5	SHORT
2653	2025.01.29 05:11:40	2025.01.29 06:00:40	-41.5	13	-41.5	SHORT
