Date	PNL	MAE	MFE
18.01.2021	6108.0	6052.5	6154.0
19.01.2021	6094.5	6094.5	6110.0
20.01.2021	6164.5	6047.0	6184.0
21.01.2021	6275.0	6160.0	6282.0
22.01.2021	6194.5	6194.5	6275.5
25.01.2021	6237.5	6189.0	6248.5
26.01.2021	6192.0	6192.0	6243.0
27.01.2021	6078.0	6078.0	6217.5
28.01.2021	6045.0	6010.0	6272.5
29.01.2021	5883.5	5883.5	6105.5
01.02.2021	6045.5	5848.5	6061.5
02.02.2021	6112.0	6022.0	6172.0
03.02.2021	6157.5	6078.0	6171.0
04.02.2021	6133.0	6074.5	6159.5
05.02.2021	6250.5	6119.5	6261.0
08.02.2021	6209.0	6209.0	6256.0
09.02.2021	6153.5	6153.5	6225.5
10.02.2021	6227.0	6153.5	6246.0
11.02.2021	6297.0	6204.0	6301.5
12.02.2021	6255.5	6255.5	6307.0
15.02.2021	6284.0	6253.5	6323.0
16.02.2021	6305.5	6284.0	6326.5
17.02.2021	6351.5	6303.0	6402.0
18.02.2021	6301.5	6286.5	6381.5
19.02.2021	6364.0	6255.5	6369.5
22.02.2021	6180.5	6180.5	6386.0
23.02.2021	6159.5	6159.5	6289.0
24.02.2021	6200.0	5973.5	6305.0
25.02.2021	6140.5	6133.0	6256.5
26.02.2021	5957.0	5734.0	6163.5
01.03.2021	6036.0	5862.0	6047.0
02.03.2021	5964.5	5964.5	6080.0
03.03.2021	6159.5	5947.0	6162.5
04.03.2021	6176.0	5925.0	6234.0
05.03.2021	6382.5	6159.0	6389.5
08.03.2021	6061.5	6061.5	6400.0
09.03.2021	6065.5	5998.5	6154.5
10.03.2021	6073.5	6012.5	6113.5
11.03.2021	6286.0	6073.5	6286.5
12.03.2021	6220.0	6220.0	6364.0
15.03.2021	6104.5	6104.5	6243.0
16.03.2021	6204.0	6071.5	6211.0
17.03.2021	6103.5	6103.5	6210.5
18.03.2021	6169.0	6103.5	6293.5
19.03.2021	6156.5	6010.5	6225.0
22.03.2021	6254.0	6145.5	6305.0
23.03.2021	6197.5	6129.5	6301.0
24.03.2021	6199.5	6190.0	6299.0
25.03.2021	6237.0	6106.0	6249.0
26.03.2021	6372.5	6197.5	6377.5
29.03.2021	6449.0	6240.0	6475.0
30.03.2021	6328.5	6328.5	6458.5
31.03.2021	6426.0	6256.5	6433.5
01.04.2021	6434.0	6358.0	6441.5
02.04.2021	6494.0	6424.5	6507.0
05.04.2021	6457.0	6457.0	6539.0
06.04.2021	6392.5	6392.5	6484.5
07.04.2021	6401.5	6368.5	6420.0
08.04.2021	6459.5	6401.5	6477.5
09.04.2021	6543.5	6455.5	6544.5
12.04.2021	6503.0	6503.0	6607.0
13.04.2021	6432.0	6432.0	6518.0
14.04.2021	6453.5	6393.0	6464.0
15.04.2021	6464.5	6397.5	6482.5
16.04.2021	6452.0	6441.0	6481.0
19.04.2021	6493.0	6407.5	6498.5
20.04.2021	6471.0	6471.0	6525.5
21.04.2021	6497.5	6415.0	6500.0
22.04.2021	6541.0	6470.5	6566.0
23.04.2021	6500.0	6500.0	6579.0
26.04.2021	6506.0	6491.5	6540.5
27.04.2021	6545.0	6488.5	6559.5
