Date	Daily_PNL	Daily_MAE	Daily_MFE	Equity_Close	Equity_Peak	Equity_Trough	Trailing_DD	Worst_DD_So_Far
10.06.2022	107.5	-96.5	133	18691	19248.5	18487	-761.5	-3276
13.06.2022	-425.5	-425.5	41	18265.5	19248.5	18265.5	-983	-3276
14.06.2022	-182	-247.5	168	18083.5	19248.5	18018	-1230.5	-3276
15.06.2022	-17.5	-212	318.5	18066	19248.5	17871.5	-1377	-3276
16.06.2022	-420	-420	90	17646	19248.5	17646	-1602.5	-3276
17.06.2022	587	-47	804.5	18233	19248.5	17599	-1649.5	-3276
19.06.2022	-55	-55	36	18178	19248.5	18178	-1070.5	-3276
20.06.2022	101.5	-23	146	18279.5	19248.5	18155	-1093.5	-3276
21.06.2022	192	-36	398.5	18471.5	19248.5	18243.5	-1005	-3276
22.06.2022	0	-69.5	260	18471.5	19248.5	18402	-846.5	-3276
23.06.2022	478.5	0	488.5	18950	19248.5	18471.5	-777	-3276
24.06.2022	386	-78	392.5	19336	19342.5	18872	-470.5	-3276
27.06.2022	-246.5	-246.5	197	19089.5	19533	19089.5	-443.5	-3276
28.06.2022	-70.5	-70.5	217.5	19019	19533	19019	-514	-3276
29.06.2022	-422	-511	55	18597	19533	18508	-1025	-3276
30.06.2022	-194	-336.5	4	18403	19533	18260.5	-1272.5	-3276
01.07.2022	114	-145	147.5	18517	19533	18258	-1275	-3276
04.07.2022	122.5	-103	143.5	18639.5	19533	18414	-1119	-3276
05.07.2022	146	-203	158.5	18785.5	19533	18436.5	-1096.5	-3276
06.07.2022	369	-8	413	19154.5	19533	18777.5	-755.5	-3276
07.07.2022	263	-91.5	371	19417.5	19533	19063	-470	-3276
08.07.2022	59.5	-110	64.5	19477	19533	19307.5	-225.5	-3276
11.07.2022	-356.5	-356.5	8	19120.5	19533	19120.5	-412.5	-3276
12.07.2022	-3	-93	224	19117.5	19533	19027.5	-505.5	-3276
13.07.2022	-105.5	-221.5	63	19012	19533	18896	-637	-3276
14.07.2022	211	-110.5	245	19223	19533	18901.5	-631.5	-3276
15.07.2022	156.5	-77	173	19379.5	19533	19146	-387	-3276
17.07.2022	-27.5	-27.5	19.5	19352	19533	19352	-181	-3276
18.07.2022	-126.5	-126.5	129	19225.5	19533	19225.5	-307.5	-3276
19.07.2022	124.5	-124	158	19350	19533	19101.5	-431.5	-3276
20.07.2022	-256	-256.5	101.5	19094	19533	19093.5	-439.5	-3276
21.07.2022	229	-40.5	235.5	19323	19533	19053.5	-479.5	-3276
22.07.2022	34.5	-69	51	19357.5	19533	19254	-279	-3276
25.07.2022	-57	-176.5	50.5	19300.5	19533	19181	-352	-3276
26.07.2022	104.5	-161.5	134	19405	19533	19139	-394	-3276
27.07.2022	-114.5	-114.5	80	19290.5	19533	19290.5	-242.5	-3276
28.07.2022	386	-33	444	19676.5	19734.5	19257.5	-477	-3276
29.07.2022	183	-53.5	187	19859.5	19863.5	19623	-240.5	-3276
01.08.2022	-173	-231.5	110.5	19686.5	19970	19628	-342	-3276
02.08.2022	274.5	-57	433	19961	20119.5	19629.5	-490	-3276
03.08.2022	467	-7	546.5	20428	20507.5	19954	-553.5	-3276
04.08.2022	-67	-239.5	36	20361	20507.5	20188.5	-319	-3276
05.08.2022	85	-78	147	20446	20508	20283	-225	-3276
08.08.2022	282	-14	284	20728	20730	20432	-298	-3276
09.08.2022	-16.5	-80.5	60.5	20711.5	20788.5	20647.5	-141	-3276
10.08.2022	85.5	-110.5	93	20797	20804.5	20601	-203.5	-3276
11.08.2022	-217	-217	80.5	20580	20877.5	20580	-297.5	-3276
12.08.2022	225	-74.5	227	20805	20877.5	20505.5	-372	-3276
15.08.2022	176.5	-157	211	20981.5	21016	20648	-368	-3276
16.08.2022	168	-63.5	232	21149.5	21213.5	20918	-295.5	-3276
17.08.2022	119	-124.5	157	21268.5	21306.5	21025	-281.5	-3276
18.08.2022	92	-21.5	135	21360.5	21403.5	21247	-156.5	-3276
19.08.2022	-179	-197	57.5	21181.5	21418	21163.5	-254.5	-3276
22.08.2022	-129.5	-166	70.5	21052	21418	21015.5	-402.5	-3276
23.08.2022	-63	-124.5	115.5	20989	21418	20927.5	-490.5	-3276
24.08.2022	-89.5	-138.5	79.5	20899.5	21418	20850.5	-567.5	-3276
25.08.2022	374	0	458	21273.5	21418	20899.5	-518.5	-3276
26.08.2022	-109	-109	19.5	21164.5	21418	21164.5	-253.5	-3276
29.08.2022	70	-5.5	352	21234.5	21516.5	21159	-357.5	-3276
30.08.2022	38.5	-12.5	176	21273	21516.5	21222	-294.5	-3276
31.08.2022	-99	-108.5	284.5	21174	21557.5	21164.5	-393	-3276
01.09.2022	-22	-222	53	21152	21557.5	20952	-605.5	-3276
02.09.2022	135.5	-6.5	323.5	21287.5	21557.5	21145.5	-412	-3276
05.09.2022	-114	-282.5	36.5	21173.5	21557.5	21005	-552.5	-3276
06.09.2022	-71.5	-189	170.5	21102	21557.5	20984.5	-573	-3276
07.09.2022	344.5	-73	397.5	21446.5	21557.5	21029	-528.5	-3276
08.09.2022	220	-48.5	240.5	21666.5	21687	21398	-289	-3276
09.09.2022	158.5	-8	230	21825	21896.5	21658.5	-238	-3276
12.09.2022	249.5	-78	254.5	22074.5	22079.5	21747	-332.5	-3276
13.09.2022	29.5	-89	112	22104	22186.5	21985.5	-201	-3276
14.09.2022	77.5	-47.5	278	22181.5	22382	22056.5	-325.5	-3276
15.09.2022	-8	-231	41	22173.5	22382	21950.5	-431.5	-3276
16.09.2022	29.5	-153	70	22203	22382	22020.5	-361.5	-3276
18.09.2022	-94.5	-94.5	44.5	22108.5	22382	22108.5	-273.5	-3276
19.09.2022	119	-212.5	123.5	22227.5	22382	21896	-486	-3276
20.09.2022	-43	-203.5	42.5	22184.5	22382	22024	-358	-3276
21.09.2022	-777	-777	84	21407.5	22382	21407.5	-974.5	-3276
22.09.2022	133	-76.5	231	21540.5	22382	21331	-1051	-3276
23.09.2022	-231	-457	7	21309.5	22382	21083.5	-1298.5	-3276
25.09.2022	-17	-17	7	21292.5	22382	21292.5	-1089.5	-3276
26.09.2022	567.5	-83	619	21860	22382	21209.5	-1172.5	-3276
27.09.2022	64.5	-92.5	370	21924.5	22382	21767.5	-614.5	-3276
28.09.2022	453	-141.5	511	22377.5	22435.5	21783	-652.5	-3276
29.09.2022	-163	-336	74.5	22214.5	22452	22041.5	-410.5	-3276
30.09.2022	-240	-240	181.5	21974.5	22452	21974.5	-477.5	-3276
03.10.2022	262	-60.5	268	22236.5	22452	21914	-538	-3276
04.10.2022	298.5	-2	314	22535	22550.5	22234.5	-316	-3276
05.10.2022	76.5	-380	77.5	22611.5	22612.5	22155	-457.5	-3276
06.10.2022	-100.5	-182	209.5	22511	22821	22429.5	-391.5	-3276
07.10.2022	-387	-387	23.5	22124	22821	22124	-697	-3276
09.10.2022	-57.5	-57.5	30.5	22066.5	22821	22066.5	-754.5	-3276
10.10.2022	92	-171.5	278.5	22158.5	22821	21895	-926	-3276
11.10.2022	-109.5	-194.5	29.5	22049	22821	21964	-857	-3276
12.10.2022	3.5	-142.5	227.5	22052.5	22821	21906.5	-914.5	-3276
13.10.2022	549.5	-113.5	698	22602	22821	21939	-882	-3276
14.10.2022	266.5	-27	529	22868.5	23131	22575	-556	-3276
16.10.2022	28.5	0	85.5	22897	23131	22868.5	-262.5	-3276
17.10.2022	191	-54	222	23088	23131	22843	-288	-3276
18.10.2022	-30	-212	120	23058	23208	22876	-332	-3276
19.10.2022	-113	-246.5	78	22945	23208	22811.5	-396.5	-3276
